Volume Set,Volume,Part Number,E.C.,Card Code,Gate Number,T##,Logic Family,IBM +,IBM -,Logic,Latch,O.C.,Input Lev.,Output Lev.,Defining Pin,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Name
,,370221,114383,DEL,1,,SDTDL,-A,+O,NOR,,OC,Y,,A,A,B,C,D,E,,O,,,,,,,,,,,,,,,,,,,,,,STDTL TWO 5-WAY N AND LOGIC BLOCKS WITHOUT LOADS
,,370221,114383,DEL,2,,SDTDL,-A,+O,NOR,,OC,Y,,F,,,,,,F,,H,,,L,,,O,Q,R,,,,,,,,,,,,,
,,370222,113946,DEM,1,,SDTDL,T,T,Trigger,G2,,Y,,A,O,B,C,D,,,,,,,,,,,,,,"I,O",,,,,,,,,,,STDTL - TRIGGER
,,370222,113946,DEM,2,,SDTDL,T,T,Trigger,G1,,Y,,G,,,,,,,G,,,,,,,P,O,R,"I,O",,,,,,,,,,,,
,,370223,113946,DFF,1,T15,SDTRL,+A,-O,NAND,,,S,,R,,,,,,,,,,,,,,,,O,,DIT,,,DIT,DIT,,,,,,,SDTRL MUP NUMBER 17
,,370223,113946,DFF,2,T14,SDTRL,+A,-O,NAND,,,S,,,,,,,,,,H,,K,L,,,,,,O,,,,DOT,DOT,,,,,,,
,,370223,113946,DFF,3,T16,SDTRL,+A,-O,NAND,,,S,,G,,,,,,,G,,,,,,,P,O,,,,,,,,,,,,,,
,,370223,113946,DFF,4,T1,SDTRL,+A,-O,NAND,,,S,,,,,,,,,,H,,K,L,,,,,,,,,,,,O,DOT,DOT,,,,
,,370223,113946,DFF,5,T10,SDTRL,+A,-O,NAND,,OC,S,,,,,,,E,F,,,,,,,,,,,O,DOT,,,,DOT,,,,,,,
,,370223,113946,DFF,6,T4,SDTRL,+A,-O,NAND,,OC,S,, ,,B,C,D,,,,,,,,,,,,,O,DOT,,,DOT,,,,,,,,
,,370223,113946,DFF,7,T12,SDTRL,+A,-O,NAND,,,S,,A,O,,,,,,,,,,,,,,,,,,,DIT,,,,DIT,DIT,,,,
,,370223,113946,DFF,8,T8,SDTRL,+A,-O,NAND,,,S,,,,,,,E,F,,,,,,,,,,,,,,DOT,,,O,,DOT,,,,
,,370223,113946,DFF,9,T6,SDTRL,+A,-O,NAND,,,S,,,,B,C,D,,,,,,,,,,,,,,,,DOT,,,O,DOT,,,,,
